,x_location,y_location,predicted_rank
22,20000,220000,0
23,20000,230000,0
24,20000,240000,0
25,20000,250000,0
26,20000,260000,0
27,20000,270000,0
28,20000,280000,0
29,20000,290000,0
30,20000,300000,0
31,20000,310000,0
32,20000,320000,0
33,20000,330000,0
34,20000,340000,0
35,20000,350000,0
39,20000,390000,0
40,20000,400000,0
41,20000,410000,0
42,20000,420000,0
43,20000,430000,0
44,20000,440000,0
45,20000,450000,0
46,20000,460000,0
47,20000,470000,0
48,20000,480000,0
49,20000,490000,0
50,20000,500000,0
51,20000,510000,0
52,20000,520000,0
53,20000,530000,0
54,20000,540000,0
55,20000,550000,0
56,20000,560000,0
57,20000,570000,0
58,20000,580000,0
59,20000,590000,0
60,20000,600000,0
61,20000,610000,0
62,20000,620000,0
63,20000,630000,0
64,20000,640000,0
65,20000,650000,0
66,20000,660000,0
67,20000,670000,0
68,20000,680000,0
69,20000,690000,0
70,20000,700000,0
71,20000,710000,0
72,20000,720000,0
73,20000,730000,0
74,20000,740000,0
75,20000,750000,0
76,20000,760000,0
77,20000,770000,0
100,30000,220000,0
101,30000,230000,0
102,30000,240000,0
103,30000,250000,0
104,30000,260000,0
105,30000,270000,0
106,30000,280000,0
107,30000,290000,0
108,30000,300000,0
109,30000,310000,0
110,30000,320000,0
111,30000,330000,0
112,30000,340000,0
113,30000,350000,0
116,30000,380000,0
117,30000,390000,0
118,30000,400000,0
119,30000,410000,0
120,30000,420000,0
121,30000,430000,0
122,30000,440000,0
123,30000,450000,0
124,30000,460000,0
125,30000,470000,0
126,30000,480000,0
127,30000,490000,0
128,30000,500000,0
129,30000,510000,0
130,30000,520000,0
131,30000,530000,0
132,30000,540000,0
133,30000,550000,0
134,30000,560000,0
135,30000,570000,0
136,30000,580000,0
137,30000,590000,0
138,30000,600000,0
139,30000,610000,0
140,30000,620000,0
141,30000,630000,0
142,30000,640000,0
143,30000,650000,0
144,30000,660000,0
145,30000,670000,0
146,30000,680000,0
147,30000,690000,0
148,30000,700000,0
149,30000,710000,0
150,30000,720000,0
151,30000,730000,0
152,30000,740000,0
153,30000,750000,0
154,30000,760000,0
155,30000,770000,0
178,40000,220000,0
179,40000,230000,0
180,40000,240000,0
181,40000,250000,0
182,40000,260000,0
183,40000,270000,0
184,40000,280000,0
185,40000,290000,0
186,40000,300000,0
187,40000,310000,0
188,40000,320000,0
190,40000,340000,0
194,40000,380000,0
195,40000,390000,0
196,40000,400000,0
197,40000,410000,0
198,40000,420000,0
199,40000,430000,0
200,40000,440000,0
201,40000,450000,0
202,40000,460000,0
203,40000,470000,0
204,40000,480000,0
205,40000,490000,0
206,40000,500000,0
207,40000,510000,0
208,40000,520000,0
209,40000,530000,0
210,40000,540000,0
211,40000,550000,0
212,40000,560000,0
213,40000,570000,0
214,40000,580000,0
215,40000,590000,0
216,40000,600000,0
217,40000,610000,0
218,40000,620000,0
219,40000,630000,0
220,40000,640000,0
221,40000,650000,0
222,40000,660000,0
223,40000,670000,0
224,40000,680000,0
225,40000,690000,0
226,40000,700000,0
227,40000,710000,0
228,40000,720000,0
229,40000,730000,0
230,40000,740000,0
231,40000,750000,0
232,40000,760000,0
233,40000,770000,0
256,50000,220000,0
257,50000,230000,0
258,50000,240000,0
259,50000,250000,0
260,50000,260000,0
261,50000,270000,0
262,50000,280000,0
263,50000,290000,0
264,50000,300000,0
265,50000,310000,0
266,50000,320000,0
272,50000,380000,0
273,50000,390000,0
274,50000,400000,0
275,50000,410000,0
276,50000,420000,0
277,50000,430000,0
278,50000,440000,0
279,50000,450000,0
280,50000,460000,0
281,50000,470000,0
282,50000,480000,0
283,50000,490000,0
284,50000,500000,0
285,50000,510000,0
286,50000,520000,0
287,50000,530000,0
288,50000,540000,0
289,50000,550000,0
290,50000,560000,0
291,50000,570000,0
292,50000,580000,0
293,50000,590000,0
294,50000,600000,0
295,50000,610000,0
296,50000,620000,0
297,50000,630000,0
298,50000,640000,0
299,50000,650000,0
300,50000,660000,0
301,50000,670000,0
302,50000,680000,0
303,50000,690000,0
304,50000,700000,0
305,50000,710000,0
306,50000,720000,0
307,50000,730000,0
308,50000,740000,0
309,50000,750000,0
310,50000,760000,0
311,50000,770000,0
335,60000,230000,0
336,60000,240000,0
337,60000,250000,0
338,60000,260000,0
339,60000,270000,0
340,60000,280000,0
342,60000,300000,0
343,60000,310000,0
349,60000,370000,0
350,60000,380000,0
351,60000,390000,0
352,60000,400000,0
353,60000,410000,0
354,60000,420000,0
355,60000,430000,0
356,60000,440000,0
