,x_location,y_location,predicted_rank
0,20000,0,0
1,20000,10000,0
2,20000,20000,0
39,20000,390000,0
40,20000,400000,0
41,20000,410000,0
42,20000,420000,0
43,20000,430000,0
44,20000,440000,0
45,20000,450000,0
46,20000,460000,0
47,20000,470000,0
48,20000,480000,0
49,20000,490000,0
50,20000,500000,0
51,20000,510000,0
52,20000,520000,0
53,20000,530000,0
54,20000,540000,0
55,20000,550000,0
56,20000,560000,0
57,20000,570000,0
58,20000,580000,0
59,20000,590000,0
60,20000,600000,0
61,20000,610000,0
62,20000,620000,0
63,20000,630000,0
64,20000,640000,0
65,20000,650000,0
66,20000,660000,0
67,20000,670000,0
68,20000,680000,0
69,20000,690000,0
70,20000,700000,0
71,20000,710000,0
72,20000,720000,0
73,20000,730000,0
74,20000,740000,0
75,20000,750000,0
76,20000,760000,0
77,20000,770000,0
78,30000,0,0
79,30000,10000,0
80,30000,20000,0
81,30000,30000,0
82,30000,40000,0
83,30000,50000,0
84,30000,60000,0
116,30000,380000,0
117,30000,390000,0
118,30000,400000,0
119,30000,410000,0
120,30000,420000,0
121,30000,430000,0
122,30000,440000,0
123,30000,450000,0
124,30000,460000,0
125,30000,470000,0
126,30000,480000,0
127,30000,490000,0
128,30000,500000,0
129,30000,510000,0
130,30000,520000,0
131,30000,530000,0
132,30000,540000,0
133,30000,550000,0
134,30000,560000,0
135,30000,570000,0
136,30000,580000,0
137,30000,590000,0
138,30000,600000,0
139,30000,610000,0
140,30000,620000,0
141,30000,630000,0
142,30000,640000,0
143,30000,650000,0
144,30000,660000,0
145,30000,670000,0
146,30000,680000,0
147,30000,690000,0
148,30000,700000,0
149,30000,710000,0
150,30000,720000,0
151,30000,730000,0
152,30000,740000,0
153,30000,750000,0
154,30000,760000,0
155,30000,770000,0
156,40000,0,0
157,40000,10000,0
158,40000,20000,0
159,40000,30000,0
160,40000,40000,0
161,40000,50000,0
162,40000,60000,0
163,40000,70000,0
164,40000,80000,0
165,40000,90000,0
166,40000,100000,0
169,40000,130000,0
170,40000,140000,0
194,40000,380000,0
195,40000,390000,0
196,40000,400000,0
197,40000,410000,0
198,40000,420000,0
199,40000,430000,0
200,40000,440000,0
201,40000,450000,0
202,40000,460000,0
203,40000,470000,0
204,40000,480000,0
205,40000,490000,0
206,40000,500000,0
207,40000,510000,0
208,40000,520000,0
209,40000,530000,0
210,40000,540000,0
211,40000,550000,0
212,40000,560000,0
213,40000,570000,0
214,40000,580000,0
215,40000,590000,0
216,40000,600000,0
217,40000,610000,0
218,40000,620000,0
219,40000,630000,0
220,40000,640000,0
221,40000,650000,0
