,x_location,y_location,predicted_rank
24,20000,240000,0
25,20000,250000,0
26,20000,260000,0
35,20000,350000,0
101,30000,230000,0
102,30000,240000,0
103,30000,250000,0
104,30000,260000,0
113,30000,350000,0
181,40000,250000,0
191,40000,350000,0
336,60000,240000,0
413,70000,230000,0
414,70000,240000,0
486,80000,180000,0
488,80000,200000,0
490,80000,220000,0
491,80000,230000,0
566,90000,200000,0
568,90000,220000,0
569,90000,230000,0
647,100000,230000,0
723,110000,210000,0
724,110000,220000,0
800,120000,200000,0
801,120000,210000,0
804,120000,240000,0
879,130000,210000,0
956,140000,200000,0
957,140000,210000,0
1033,150000,190000,0
1034,150000,200000,0
1035,150000,210000,0
1109,160000,170000,0
1186,170000,160000,0
1187,170000,170000,0
1261,180000,130000,0
1262,180000,140000,0
1263,180000,150000,0
1264,180000,160000,0
1282,180000,340000,0
1339,190000,130000,0
1340,190000,140000,0
1341,190000,150000,0
1342,190000,160000,0
1360,190000,340000,0
1361,190000,350000,0
1416,200000,120000,0
1417,200000,130000,0
1418,200000,140000,0
1419,200000,150000,0
1420,200000,160000,0
1439,200000,350000,0
1495,210000,130000,0
1496,210000,140000,0
1497,210000,150000,0
1498,210000,160000,0
1500,210000,180000,0
1653,230000,150000,0
1726,240000,100000,0
1731,240000,150000,0
1735,240000,190000,0
1750,240000,340000,0
1802,250000,80000,0
1803,250000,90000,0
1805,250000,110000,0
1818,250000,240000,0
1820,250000,260000,0
1821,250000,270000,0
1825,250000,310000,0
1826,250000,320000,0
1827,250000,330000,0
1828,250000,340000,0
1881,260000,90000,0
1882,260000,100000,0
1883,260000,110000,0
1896,260000,240000,0
1897,260000,250000,0
1898,260000,260000,0
1899,260000,270000,0
1900,260000,280000,0
1901,260000,290000,0
1902,260000,300000,0
1903,260000,310000,0
1904,260000,320000,0
1905,260000,330000,0
1906,260000,340000,0
1959,270000,90000,0
1960,270000,100000,0
1972,270000,220000,0
1973,270000,230000,0
1974,270000,240000,0
1975,270000,250000,0
1976,270000,260000,0
1977,270000,270000,0
1978,270000,280000,0
1979,270000,290000,0
1980,270000,300000,0
1981,270000,310000,0
1982,270000,320000,0
1983,270000,330000,0
2037,280000,90000,0
2038,280000,100000,0
2039,280000,110000,0
2040,280000,120000,0
2041,280000,130000,0
2042,280000,140000,0
2044,280000,160000,0
2048,280000,200000,0
2049,280000,210000,0
2050,280000,220000,0
2051,280000,230000,0
2052,280000,240000,0
2053,280000,250000,0
2054,280000,260000,0
2055,280000,270000,0
2056,280000,280000,0
2057,280000,290000,0
2058,280000,300000,0
2078,280000,500000,0
2079,280000,510000,0
2080,280000,520000,0
2081,280000,530000,0
2115,290000,90000,0
2116,290000,100000,0
2117,290000,110000,0
2118,290000,120000,0
2119,290000,130000,0
2120,290000,140000,0
2121,290000,150000,0
2122,290000,160000,0
2123,290000,170000,0
2124,290000,180000,0
2125,290000,190000,0
2126,290000,200000,0
2127,290000,210000,0
2128,290000,220000,0
2129,290000,230000,0
2130,290000,240000,0
2131,290000,250000,0
2132,290000,260000,0
2133,290000,270000,0
2134,290000,280000,0
2135,290000,290000,0
2136,290000,300000,0
2155,290000,490000,0
2156,290000,500000,0
2157,290000,510000,0
2158,290000,520000,0
2159,290000,530000,0
2160,290000,540000,0
2161,290000,550000,0
2194,300000,100000,0
2195,300000,110000,0
2196,300000,120000,0
2197,300000,130000,0
2198,300000,140000,0
2199,300000,150000,0
2200,300000,160000,0
2201,300000,170000,0
2202,300000,180000,0
2204,300000,200000,0
2205,300000,210000,0
2206,300000,220000,0
2207,300000,230000,0
2208,300000,240000,0
2209,300000,250000,0
2210,300000,260000,0
2211,300000,270000,0
2212,300000,280000,0
2213,300000,290000,0
2235,300000,510000,0
2236,300000,520000,0
2237,300000,530000,0
2238,300000,540000,0
2240,300000,560000,0
2272,310000,100000,0
2273,310000,110000,0
2274,310000,120000,0
2275,310000,130000,0
2276,310000,140000,0
2277,310000,150000,0
2278,310000,160000,0
2279,310000,170000,0
2280,310000,180000,0
2281,310000,190000,0
2282,310000,200000,0
2283,310000,210000,0
2284,310000,220000,0
2285,310000,230000,0
2286,310000,240000,0
2287,310000,250000,0
2288,310000,260000,0
2289,310000,270000,0
2290,310000,280000,0
2291,310000,290000,0
2314,310000,520000,0
2349,320000,90000,0
2350,320000,100000,0
2351,320000,110000,0
2352,320000,120000,0
2353,320000,130000,0
2354,320000,140000,0
2355,320000,150000,0
2356,320000,160000,0
2357,320000,170000,0
2358,320000,180000,0
2359,320000,190000,0
2360,320000,200000,0
2361,320000,210000,0
2362,320000,220000,0
2363,320000,230000,0
2364,320000,240000,0
2365,320000,250000,0
2366,320000,260000,0
2367,320000,270000,0
2368,320000,280000,0
2369,320000,290000,0
2370,320000,300000,0
2375,320000,350000,0
2396,320000,560000,0
2397,320000,570000,0
2428,330000,100000,0
2429,330000,110000,0
2430,330000,120000,0
2431,330000,130000,0
2432,330000,140000,0
2433,330000,150000,0
2434,330000,160000,0
2435,330000,170000,0
2436,330000,180000,0
2437,330000,190000,0
2438,330000,200000,0
2439,330000,210000,0
2440,330000,220000,0
2441,330000,230000,0
2443,330000,250000,0
2444,330000,260000,0
2445,330000,270000,0
2447,330000,290000,0
2448,330000,300000,0
2450,330000,320000,0
2451,330000,330000,0
2452,330000,340000,0
2453,330000,350000,0
2454,330000,360000,0
2456,330000,380000,0
2506,340000,100000,0
2507,340000,110000,0
2508,340000,120000,0
2509,340000,130000,0
2510,340000,140000,0
2511,340000,150000,0
2512,340000,160000,0
2513,340000,170000,0
2514,340000,180000,0
2515,340000,190000,0
2516,340000,200000,0
2517,340000,210000,0
2518,340000,220000,0
2519,340000,230000,0
2520,340000,240000,0
2521,340000,250000,0
2526,340000,300000,0
2527,340000,310000,0
2528,340000,320000,0
2529,340000,330000,0
2530,340000,340000,0
2531,340000,350000,0
2532,340000,360000,0
2533,340000,370000,0
2534,340000,380000,0
2585,350000,110000,0
2586,350000,120000,0
2587,350000,130000,0
2588,350000,140000,0
2591,350000,170000,0
2592,350000,180000,0
2593,350000,190000,0
2594,350000,200000,0
2595,350000,210000,0
2596,350000,220000,0
2597,350000,230000,0
2598,350000,240000,0
2606,350000,320000,0
2607,350000,330000,0
2608,350000,340000,0
2609,350000,350000,0
2610,350000,360000,0
2611,350000,370000,0
2612,350000,380000,0
2631,350000,570000,0
2664,360000,120000,0
2665,360000,130000,0
2666,360000,140000,0
2672,360000,200000,0
2673,360000,210000,0
2675,360000,230000,0
2676,360000,240000,0
2683,360000,310000,0
2685,360000,330000,0
2686,360000,340000,0
2687,360000,350000,0
2688,360000,360000,0
2689,360000,370000,0
2741,370000,110000,0
2762,370000,320000,0
2763,370000,330000,0
2764,370000,340000,0
2765,370000,350000,0
2766,370000,360000,0
2767,370000,370000,0
2840,380000,320000,0
2841,380000,330000,0
2843,380000,350000,0
3099,410000,570000,0
3146,420000,260000,0
3177,420000,570000,0
3224,430000,260000,0
3225,430000,270000,0
3303,440000,270000,0
3379,450000,250000,0
3380,450000,260000,0
3381,450000,270000,0
3459,460000,270000,0
3460,460000,280000,0
3461,460000,290000,0
3475,460000,430000,0
3489,460000,570000,0
3537,470000,270000,0
3538,470000,280000,0
3539,470000,290000,0
3543,470000,330000,0
3567,470000,570000,0
3568,470000,580000,0
3569,470000,590000,0
3570,470000,600000,0
3612,480000,240000,0
3614,480000,260000,0
3615,480000,270000,0
3616,480000,280000,0
3617,480000,290000,0
3621,480000,330000,0
3644,480000,560000,0
3645,480000,570000,0
3646,480000,580000,0
3647,480000,590000,0
3648,480000,600000,0
3649,480000,610000,0
3691,490000,250000,0
3692,490000,260000,0
3694,490000,280000,0
3699,490000,330000,0
3722,490000,560000,0
3723,490000,570000,0
3724,490000,580000,0
3725,490000,590000,0
3726,490000,600000,0
3727,490000,610000,0
3728,490000,620000,0
3800,500000,560000,0
3801,500000,570000,0
3802,500000,580000,0
3803,500000,590000,0
3804,500000,600000,0
3805,500000,610000,0
3806,500000,620000,0
3807,500000,630000,0
3878,510000,560000,0
3879,510000,570000,0
3880,510000,580000,0
3881,510000,590000,0
3882,510000,600000,0
3883,510000,610000,0
3884,510000,620000,0
3885,510000,630000,0
3886,510000,640000,0
3887,510000,650000,0
3893,510000,710000,0
3894,510000,720000,0
3897,510000,750000,0
3898,510000,760000,0
3899,510000,770000,0
3957,520000,570000,0
3958,520000,580000,0
3959,520000,590000,0
3960,520000,600000,0
3961,520000,610000,0
3962,520000,620000,0
3963,520000,630000,0
3964,520000,640000,0
3965,520000,650000,0
3966,520000,660000,0
3967,520000,670000,0
3968,520000,680000,0
3969,520000,690000,0
3970,520000,700000,0
3971,520000,710000,0
3972,520000,720000,0
3973,520000,730000,0
3974,520000,740000,0
3975,520000,750000,0
3976,520000,760000,0
3977,520000,770000,0
4035,530000,570000,0
4036,530000,580000,0
4037,530000,590000,0
4038,530000,600000,0
4039,530000,610000,0
4040,530000,620000,0
4041,530000,630000,0
4042,530000,640000,0
4043,530000,650000,0
4044,530000,660000,0
4045,530000,670000,0
4046,530000,680000,0
4047,530000,690000,0
4048,530000,700000,0
4049,530000,710000,0
4050,530000,720000,0
4051,530000,730000,0
4052,530000,740000,0
4053,530000,750000,0
4054,530000,760000,0
4055,530000,770000,0
4084,540000,280000,0
4114,540000,580000,0
4115,540000,590000,0
4116,540000,600000,0
4117,540000,610000,0
4118,540000,620000,0
4120,540000,640000,0
4121,540000,650000,0
4122,540000,660000,0
4123,540000,670000,0
4124,540000,680000,0
4125,540000,690000,0
4126,540000,700000,0
4127,540000,710000,0
4128,540000,720000,0
4129,540000,730000,0
4130,540000,740000,0
4131,540000,750000,0
4132,540000,760000,0
4133,540000,770000,0
4194,550000,600000,0
4195,550000,610000,0
4198,550000,640000,0
4199,550000,650000,0
4200,550000,660000,0
4201,550000,670000,0
4202,550000,680000,0
4203,550000,690000,0
4204,550000,700000,0
4205,550000,710000,0
4206,550000,720000,0
4207,550000,730000,0
4208,550000,740000,0
4209,550000,750000,0
4210,550000,760000,0
4211,550000,770000,0
4276,560000,640000,0
4278,560000,660000,0
4279,560000,670000,0
4280,560000,680000,0
4281,560000,690000,0
4282,560000,700000,0
4283,560000,710000,0
4284,560000,720000,0
4285,560000,730000,0
4286,560000,740000,0
4287,560000,750000,0
4288,560000,760000,0
4289,560000,770000,0
4357,570000,670000,0
4358,570000,680000,0
4359,570000,690000,0
4360,570000,700000,0
4361,570000,710000,0
4362,570000,720000,0
4363,570000,730000,0
4364,570000,740000,0
4365,570000,750000,0
4366,570000,760000,0
4367,570000,770000,0
4437,580000,690000,0
4438,580000,700000,0
4439,580000,710000,0
4440,580000,720000,0
4441,580000,730000,0
4442,580000,740000,0
4443,580000,750000,0
4444,580000,760000,0
4445,580000,770000,0
4516,590000,700000,0
4517,590000,710000,0
4518,590000,720000,0
4519,590000,730000,0
4520,590000,740000,0
4521,590000,750000,0
4522,590000,760000,0
4523,590000,770000,0
4592,600000,680000,0
4593,600000,690000,0
4594,600000,700000,0
4595,600000,710000,0
4596,600000,720000,0
4597,600000,730000,0
4598,600000,740000,0
4599,600000,750000,0
4600,600000,760000,0
4601,600000,770000,0
4671,610000,690000,0
4672,610000,700000,0
4673,610000,710000,0
4676,610000,740000,0
4677,610000,750000,0
4678,610000,760000,0
4679,610000,770000,0
4755,620000,750000,0
4756,620000,760000,0
4757,620000,770000,0
4835,630000,770000,0
