,x_location,y_location,predicted_rank
568,170000,30000,0
569,170000,40000,0
570,170000,50000,0
571,170000,60000,0
572,170000,70000,0
575,170000,100000,0
607,170000,420000,0
608,170000,430000,0
609,170000,440000,0
610,170000,450000,0
639,180000,30000,0
640,180000,40000,0
641,180000,50000,0
642,180000,60000,0
643,180000,70000,0
644,180000,80000,0
645,180000,90000,0
646,180000,100000,0
647,180000,110000,0
648,180000,120000,0
649,180000,130000,0
670,180000,340000,0
671,180000,350000,0
672,180000,360000,0
673,180000,370000,0
676,180000,400000,0
677,180000,410000,0
678,180000,420000,0
679,180000,430000,0
680,180000,440000,0
681,180000,450000,0
710,190000,30000,0
711,190000,40000,0
712,190000,50000,0
713,190000,60000,0
714,190000,70000,0
715,190000,80000,0
716,190000,90000,0
717,190000,100000,0
718,190000,110000,0
719,190000,120000,0
720,190000,130000,0
721,190000,140000,0
722,190000,150000,0
723,190000,160000,0
724,190000,170000,0
741,190000,340000,0
742,190000,350000,0
743,190000,360000,0
744,190000,370000,0
745,190000,380000,0
746,190000,390000,0
747,190000,400000,0
748,190000,410000,0
749,190000,420000,0
750,190000,430000,0
751,190000,440000,0
752,190000,450000,0
781,200000,30000,0
782,200000,40000,0
783,200000,50000,0
784,200000,60000,0
785,200000,70000,0
786,200000,80000,0
787,200000,90000,0
788,200000,100000,0
789,200000,110000,0
790,200000,120000,0
791,200000,130000,0
792,200000,140000,0
793,200000,150000,0
794,200000,160000,0
795,200000,170000,0
813,200000,350000,0
814,200000,360000,0
815,200000,370000,0
816,200000,380000,0
817,200000,390000,0
818,200000,400000,0
819,200000,410000,0
820,200000,420000,0
821,200000,430000,0
822,200000,440000,0
852,210000,30000,0
853,210000,40000,0
854,210000,50000,0
855,210000,60000,0
856,210000,70000,0
857,210000,80000,0
858,210000,90000,0
859,210000,100000,0
860,210000,110000,0
861,210000,120000,0
862,210000,130000,0
863,210000,140000,0
864,210000,150000,0
865,210000,160000,0
866,210000,170000,0
867,210000,180000,0
868,210000,190000,0
876,210000,270000,0
877,210000,280000,0
885,210000,360000,0
886,210000,370000,0
887,210000,380000,0
888,210000,390000,0
889,210000,400000,0
890,210000,410000,0
891,210000,420000,0
892,210000,430000,0
923,220000,30000,0
924,220000,40000,0
925,220000,50000,0
926,220000,60000,0
927,220000,70000,0
928,220000,80000,0
929,220000,90000,0
930,220000,100000,0
931,220000,110000,0
932,220000,120000,0
933,220000,130000,0
934,220000,140000,0
935,220000,150000,0
936,220000,160000,0
937,220000,170000,0
938,220000,180000,0
939,220000,190000,0
940,220000,200000,0
944,220000,240000,0
945,220000,250000,0
946,220000,260000,0
957,220000,370000,0
958,220000,380000,0
962,220000,420000,0
963,220000,430000,0
964,220000,440000,0
994,230000,30000,0
995,230000,40000,0
996,230000,50000,0
997,230000,60000,0
998,230000,70000,0
999,230000,80000,0
1000,230000,90000,0
1001,230000,100000,0
1002,230000,110000,0
1003,230000,120000,0
1004,230000,130000,0
1005,230000,140000,0
1006,230000,150000,0
1007,230000,160000,0
1008,230000,170000,0
1009,230000,180000,0
1010,230000,190000,0
1011,230000,200000,0
1012,230000,210000,0
1013,230000,220000,0
1015,230000,240000,0
1016,230000,250000,0
1017,230000,260000,0
1029,230000,380000,0
1033,230000,420000,0
1034,230000,430000,0
1065,240000,30000,0
1066,240000,40000,0
1067,240000,50000,0
1068,240000,60000,0
1069,240000,70000,0
1070,240000,80000,0
1071,240000,90000,0
1072,240000,100000,0
1073,240000,110000,0
1074,240000,120000,0
1075,240000,130000,0
1076,240000,140000,0
1077,240000,150000,0
1078,240000,160000,0
1079,240000,170000,0
1080,240000,180000,0
1081,240000,190000,0
1082,240000,200000,0
1083,240000,210000,0
1084,240000,220000,0
1085,240000,230000,0
1086,240000,240000,0
1087,240000,250000,0
1136,250000,30000,0
1137,250000,40000,0
1138,250000,50000,0
1139,250000,60000,0
1140,250000,70000,0
1141,250000,80000,0
1142,250000,90000,0
1143,250000,100000,0
1144,250000,110000,0
1145,250000,120000,0
1146,250000,130000,0
1147,250000,140000,0
1148,250000,150000,0
1149,250000,160000,0
1150,250000,170000,0
1151,250000,180000,0
1152,250000,190000,0
1153,250000,200000,0
1154,250000,210000,0
1155,250000,220000,0
1156,250000,230000,0
1157,250000,240000,0
1207,260000,30000,0
1208,260000,40000,0
1209,260000,50000,0
1210,260000,60000,0
1211,260000,70000,0
1212,260000,80000,0
1213,260000,90000,0
1214,260000,100000,0
1215,260000,110000,0
1216,260000,120000,0
1217,260000,130000,0
1218,260000,140000,0
1219,260000,150000,0
1220,260000,160000,0
1221,260000,170000,0
1222,260000,180000,0
1223,260000,190000,0
1224,260000,200000,0
1225,260000,210000,0
1226,260000,220000,0
1227,260000,230000,0
1278,270000,30000,0
1279,270000,40000,0
1280,270000,50000,0
1281,270000,60000,0
1282,270000,70000,0
1283,270000,80000,0
1284,270000,90000,0
1285,270000,100000,0
1286,270000,110000,0
1287,270000,120000,0
1288,270000,130000,0
1289,270000,140000,0
1290,270000,150000,0
1291,270000,160000,0
1292,270000,170000,0
1293,270000,180000,0
1294,270000,190000,0
1295,270000,200000,0
1296,270000,210000,0
1297,270000,220000,0
