,x_location,y_location,predicted_rank
0,90000,30000,0
1,90000,40000,0
2,90000,50000,0
3,90000,60000,0
4,90000,70000,0
5,90000,80000,0
6,90000,90000,0
7,90000,100000,0
8,90000,110000,0
9,90000,120000,0
10,90000,130000,0
11,90000,140000,0
12,90000,150000,0
13,90000,160000,0
71,100000,30000,0
72,100000,40000,0
73,100000,50000,0
74,100000,60000,0
75,100000,70000,0
76,100000,80000,0
77,100000,90000,0
78,100000,100000,0
79,100000,110000,0
80,100000,120000,0
81,100000,130000,0
82,100000,140000,0
83,100000,150000,0
84,100000,160000,0
85,100000,170000,0
142,110000,30000,0
143,110000,40000,0
144,110000,50000,0
145,110000,60000,0
146,110000,70000,0
147,110000,80000,0
148,110000,90000,0
149,110000,100000,0
150,110000,110000,0
151,110000,120000,0
152,110000,130000,0
153,110000,140000,0
154,110000,150000,0
155,110000,160000,0
156,110000,170000,0
157,110000,180000,0
213,120000,30000,0
214,120000,40000,0
215,120000,50000,0
216,120000,60000,0
217,120000,70000,0
218,120000,80000,0
219,120000,90000,0
220,120000,100000,0
221,120000,110000,0
222,120000,120000,0
223,120000,130000,0
224,120000,140000,0
225,120000,150000,0
226,120000,160000,0
227,120000,170000,0
228,120000,180000,0
229,120000,190000,0
284,130000,30000,0
285,130000,40000,0
286,130000,50000,0
287,130000,60000,0
288,130000,70000,0
289,130000,80000,0
290,130000,90000,0
291,130000,100000,0
292,130000,110000,0
293,130000,120000,0
294,130000,130000,0
295,130000,140000,0
296,130000,150000,0
297,130000,160000,0
298,130000,170000,0
299,130000,180000,0
300,130000,190000,0
301,130000,200000,0
355,140000,30000,0
356,140000,40000,0
357,140000,50000,0
358,140000,60000,0
359,140000,70000,0
360,140000,80000,0
361,140000,90000,0
362,140000,100000,0
363,140000,110000,0
364,140000,120000,0
365,140000,130000,0
366,140000,140000,0
367,140000,150000,0
368,140000,160000,0
369,140000,170000,0
370,140000,180000,0
371,140000,190000,0
372,140000,200000,0
373,140000,210000,0
385,140000,330000,0
426,150000,30000,0
427,150000,40000,0
428,150000,50000,0
429,150000,60000,0
430,150000,70000,0
431,150000,80000,0
432,150000,90000,0
433,150000,100000,0
434,150000,110000,0
435,150000,120000,0
436,150000,130000,0
437,150000,140000,0
438,150000,150000,0
439,150000,160000,0
440,150000,170000,0
441,150000,180000,0
442,150000,190000,0
443,150000,200000,0
444,150000,210000,0
445,150000,220000,0
457,150000,340000,0
460,150000,370000,0
497,160000,30000,0
498,160000,40000,0
499,160000,50000,0
500,160000,60000,0
501,160000,70000,0
502,160000,80000,0
503,160000,90000,0
504,160000,100000,0
505,160000,110000,0
506,160000,120000,0
507,160000,130000,0
508,160000,140000,0
509,160000,150000,0
510,160000,160000,0
511,160000,170000,0
512,160000,180000,0
513,160000,190000,0
514,160000,200000,0
515,160000,210000,0
516,160000,220000,0
528,160000,340000,0
529,160000,350000,0
530,160000,360000,0
531,160000,370000,0
568,170000,30000,0
569,170000,40000,0
570,170000,50000,0
571,170000,60000,0
572,170000,70000,0
573,170000,80000,0
574,170000,90000,0
575,170000,100000,0
576,170000,110000,0
577,170000,120000,0
578,170000,130000,0
579,170000,140000,0
580,170000,150000,0
581,170000,160000,0
582,170000,170000,0
583,170000,180000,0
584,170000,190000,0
585,170000,200000,0
586,170000,210000,0
587,170000,220000,0
599,170000,340000,0
600,170000,350000,0
601,170000,360000,0
602,170000,370000,0
639,180000,30000,0
640,180000,40000,0
641,180000,50000,0
642,180000,60000,0
643,180000,70000,0
644,180000,80000,0
645,180000,90000,0
646,180000,100000,0
647,180000,110000,0
648,180000,120000,0
649,180000,130000,0
650,180000,140000,0
651,180000,150000,0
652,180000,160000,0
653,180000,170000,0
654,180000,180000,0
655,180000,190000,0
656,180000,200000,0
657,180000,210000,0
658,180000,220000,0
668,180000,320000,0
710,190000,30000,0
711,190000,40000,0
712,190000,50000,0
713,190000,60000,0
714,190000,70000,0
715,190000,80000,0
716,190000,90000,0
717,190000,100000,0
718,190000,110000,0
719,190000,120000,0
720,190000,130000,0
721,190000,140000,0
722,190000,150000,0
723,190000,160000,0
724,190000,170000,0
725,190000,180000,0
