,x_location,y_location,predicted_rank
40,90000,430000,0
41,90000,440000,0
42,90000,450000,0
43,90000,460000,0
44,90000,470000,0
45,90000,480000,0
46,90000,490000,0
47,90000,500000,0
48,90000,510000,0
49,90000,520000,0
50,90000,530000,0
51,90000,540000,0
52,90000,550000,0
53,90000,560000,0
54,90000,570000,0
55,90000,580000,0
56,90000,590000,0
57,90000,600000,0
58,90000,610000,0
59,90000,620000,0
60,90000,630000,0
61,90000,640000,0
62,90000,650000,0
63,90000,660000,0
64,90000,670000,0
65,90000,680000,0
66,90000,690000,0
67,90000,700000,0
68,90000,710000,0
69,90000,720000,0
70,90000,730000,0
93,100000,250000,0
111,100000,430000,0
112,100000,440000,0
113,100000,450000,0
114,100000,460000,0
115,100000,470000,0
116,100000,480000,0
117,100000,490000,0
118,100000,500000,0
119,100000,510000,0
120,100000,520000,0
121,100000,530000,0
122,100000,540000,0
123,100000,550000,0
124,100000,560000,0
125,100000,570000,0
126,100000,580000,0
127,100000,590000,0
128,100000,600000,0
129,100000,610000,0
130,100000,620000,0
131,100000,630000,0
132,100000,640000,0
133,100000,650000,0
134,100000,660000,0
135,100000,670000,0
136,100000,680000,0
137,100000,690000,0
138,100000,700000,0
139,100000,710000,0
140,100000,720000,0
141,100000,730000,0
164,110000,250000,0
165,110000,260000,0
181,110000,420000,0
182,110000,430000,0
183,110000,440000,0
184,110000,450000,0
185,110000,460000,0
186,110000,470000,0
187,110000,480000,0
188,110000,490000,0
189,110000,500000,0
190,110000,510000,0
191,110000,520000,0
192,110000,530000,0
193,110000,540000,0
194,110000,550000,0
195,110000,560000,0
196,110000,570000,0
197,110000,580000,0
198,110000,590000,0
199,110000,600000,0
200,110000,610000,0
201,110000,620000,0
202,110000,630000,0
203,110000,640000,0
204,110000,650000,0
205,110000,660000,0
206,110000,670000,0
207,110000,680000,0
208,110000,690000,0
209,110000,700000,0
210,110000,710000,0
211,110000,720000,0
212,110000,730000,0
235,120000,250000,0
236,120000,260000,0
237,120000,270000,0
251,120000,410000,0
252,120000,420000,0
253,120000,430000,0
254,120000,440000,0
255,120000,450000,0
256,120000,460000,0
257,120000,470000,0
258,120000,480000,0
259,120000,490000,0
260,120000,500000,0
261,120000,510000,0
262,120000,520000,0
263,120000,530000,0
264,120000,540000,0
265,120000,550000,0
266,120000,560000,0
267,120000,570000,0
268,120000,580000,0
269,120000,590000,0
270,120000,600000,0
271,120000,610000,0
272,120000,620000,0
273,120000,630000,0
274,120000,640000,0
275,120000,650000,0
276,120000,660000,0
277,120000,670000,0
278,120000,680000,0
279,120000,690000,0
280,120000,700000,0
281,120000,710000,0
282,120000,720000,0
283,120000,730000,0
306,130000,250000,0
307,130000,260000,0
322,130000,410000,0
323,130000,420000,0
324,130000,430000,0
325,130000,440000,0
326,130000,450000,0
327,130000,460000,0
328,130000,470000,0
329,130000,480000,0
330,130000,490000,0
331,130000,500000,0
332,130000,510000,0
333,130000,520000,0
334,130000,530000,0
335,130000,540000,0
336,130000,550000,0
337,130000,560000,0
338,130000,570000,0
339,130000,580000,0
340,130000,590000,0
341,130000,600000,0
342,130000,610000,0
343,130000,620000,0
344,130000,630000,0
345,130000,640000,0
346,130000,650000,0
347,130000,660000,0
348,130000,670000,0
349,130000,680000,0
350,130000,690000,0
351,130000,700000,0
352,130000,710000,0
353,130000,720000,0
354,130000,730000,0
373,140000,210000,0
377,140000,250000,0
378,140000,260000,0
392,140000,400000,0
393,140000,410000,0
394,140000,420000,0
395,140000,430000,0
396,140000,440000,0
397,140000,450000,0
398,140000,460000,0
399,140000,470000,0
400,140000,480000,0
401,140000,490000,0
402,140000,500000,0
403,140000,510000,0
404,140000,520000,0
405,140000,530000,0
406,140000,540000,0
407,140000,550000,0
408,140000,560000,0
409,140000,570000,0
410,140000,580000,0
411,140000,590000,0
412,140000,600000,0
413,140000,610000,0
414,140000,620000,0
415,140000,630000,0
416,140000,640000,0
417,140000,650000,0
418,140000,660000,0
419,140000,670000,0
420,140000,680000,0
421,140000,690000,0
422,140000,700000,0
423,140000,710000,0
424,140000,720000,0
425,140000,730000,0
444,150000,210000,0
445,150000,220000,0
463,150000,400000,0
464,150000,410000,0
465,150000,420000,0
466,150000,430000,0
467,150000,440000,0
468,150000,450000,0
469,150000,460000,0
470,150000,470000,0
471,150000,480000,0
472,150000,490000,0
473,150000,500000,0
474,150000,510000,0
475,150000,520000,0
476,150000,530000,0
477,150000,540000,0
478,150000,550000,0
479,150000,560000,0
480,150000,570000,0
481,150000,580000,0
482,150000,590000,0
