,x_location,y_location,predicted_rank
0,90000,30000,0
1,90000,40000,0
2,90000,50000,0
23,90000,260000,0
26,90000,290000,0
27,90000,300000,0
28,90000,310000,0
29,90000,320000,0
30,90000,330000,0
71,100000,30000,0
72,100000,40000,0
73,100000,50000,0
74,100000,60000,0
94,100000,260000,0
97,100000,290000,0
98,100000,300000,0
99,100000,310000,0
100,100000,320000,0
101,100000,330000,0
142,110000,30000,0
143,110000,40000,0
144,110000,50000,0
145,110000,60000,0
146,110000,70000,0
147,110000,80000,0
165,110000,260000,0
167,110000,280000,0
168,110000,290000,0
169,110000,300000,0
170,110000,310000,0
171,110000,320000,0
172,110000,330000,0
213,120000,30000,0
214,120000,40000,0
215,120000,50000,0
216,120000,60000,0
217,120000,70000,0
218,120000,80000,0
219,120000,90000,0
238,120000,280000,0
239,120000,290000,0
240,120000,300000,0
241,120000,310000,0
242,120000,320000,0
243,120000,330000,0
284,130000,30000,0
285,130000,40000,0
286,130000,50000,0
287,130000,60000,0
288,130000,70000,0
289,130000,80000,0
290,130000,90000,0
291,130000,100000,0
310,130000,290000,0
311,130000,300000,0
312,130000,310000,0
313,130000,320000,0
314,130000,330000,0
315,130000,340000,0
356,140000,40000,0
357,140000,50000,0
358,140000,60000,0
359,140000,70000,0
360,140000,80000,0
361,140000,90000,0
362,140000,100000,0
363,140000,110000,0
383,140000,310000,0
384,140000,320000,0
385,140000,330000,0
386,140000,340000,0
387,140000,350000,0
429,150000,60000,0
430,150000,70000,0
431,150000,80000,0
432,150000,90000,0
433,150000,100000,0
434,150000,110000,0
435,150000,120000,0
456,150000,330000,0
457,150000,340000,0
458,150000,350000,0
501,160000,70000,0
502,160000,80000,0
503,160000,90000,0
504,160000,100000,0
505,160000,110000,0
506,160000,120000,0
507,160000,130000,0
528,160000,340000,0
574,170000,90000,0
575,170000,100000,0
576,170000,110000,0
577,170000,120000,0
578,170000,130000,0
579,170000,140000,0
600,170000,350000,0
601,170000,360000,0
602,170000,370000,0
603,170000,380000,0
637,170000,720000,0
638,170000,730000,0
646,180000,100000,0
647,180000,110000,0
648,180000,120000,0
649,180000,130000,0
650,180000,140000,0
651,180000,150000,0
674,180000,380000,0
675,180000,390000,0
676,180000,400000,0
703,180000,670000,0
704,180000,680000,0
705,180000,690000,0
706,180000,700000,0
707,180000,710000,0
708,180000,720000,0
709,180000,730000,0
718,190000,110000,0
719,190000,120000,0
720,190000,130000,0
721,190000,140000,0
722,190000,150000,0
723,190000,160000,0
746,190000,390000,0
747,190000,400000,0
769,190000,620000,0
770,190000,630000,0
771,190000,640000,0
772,190000,650000,0
773,190000,660000,0
774,190000,670000,0
775,190000,680000,0
776,190000,690000,0
777,190000,700000,0
778,190000,710000,0
779,190000,720000,0
780,190000,730000,0
791,200000,130000,0
792,200000,140000,0
793,200000,150000,0
794,200000,160000,0
819,200000,410000,0
820,200000,420000,0
821,200000,430000,0
825,200000,470000,0
835,200000,570000,0
836,200000,580000,0
837,200000,590000,0
838,200000,600000,0
839,200000,610000,0
840,200000,620000,0
841,200000,630000,0
842,200000,640000,0
843,200000,650000,0
844,200000,660000,0
845,200000,670000,0
846,200000,680000,0
847,200000,690000,0
862,210000,130000,0
863,210000,140000,0
864,210000,150000,0
883,210000,340000,0
884,210000,350000,0
885,210000,360000,0
890,210000,410000,0
891,210000,420000,0
892,210000,430000,0
893,210000,440000,0
894,210000,450000,0
895,210000,460000,0
896,210000,470000,0
897,210000,480000,0
900,210000,510000,0
901,210000,520000,0
902,210000,530000,0
903,210000,540000,0
904,210000,550000,0
905,210000,560000,0
906,210000,570000,0
907,210000,580000,0
908,210000,590000,0
909,210000,600000,0
910,210000,610000,0
911,210000,620000,0
912,210000,630000,0
913,210000,640000,0
933,220000,130000,0
934,220000,140000,0
935,220000,150000,0
954,220000,340000,0
955,220000,350000,0
956,220000,360000,0
962,220000,420000,0
963,220000,430000,0
964,220000,440000,0
965,220000,450000,0
966,220000,460000,0
968,220000,480000,0
969,220000,490000,0
970,220000,500000,0
971,220000,510000,0
972,220000,520000,0
973,220000,530000,0
974,220000,540000,0
975,220000,550000,0
976,220000,560000,0
