,x_location,y_location,predicted_rank
0,90000,30000,0
1,90000,40000,0
2,90000,50000,0
3,90000,60000,0
4,90000,70000,0
5,90000,80000,0
6,90000,90000,0
7,90000,100000,0
8,90000,110000,0
9,90000,120000,0
10,90000,130000,0
11,90000,140000,0
12,90000,150000,0
13,90000,160000,0
14,90000,170000,0
44,90000,470000,0
45,90000,480000,0
46,90000,490000,0
47,90000,500000,0
48,90000,510000,0
49,90000,520000,0
50,90000,530000,0
51,90000,540000,0
52,90000,550000,0
53,90000,560000,0
54,90000,570000,0
55,90000,580000,0
56,90000,590000,0
57,90000,600000,0
58,90000,610000,0
59,90000,620000,0
60,90000,630000,0
61,90000,640000,0
62,90000,650000,0
63,90000,660000,0
64,90000,670000,0
65,90000,680000,0
66,90000,690000,0
67,90000,700000,0
68,90000,710000,0
69,90000,720000,0
70,90000,730000,0
71,100000,30000,0
72,100000,40000,0
73,100000,50000,0
74,100000,60000,0
75,100000,70000,0
76,100000,80000,0
77,100000,90000,0
78,100000,100000,0
79,100000,110000,0
80,100000,120000,0
81,100000,130000,0
82,100000,140000,0
83,100000,150000,0
84,100000,160000,0
85,100000,170000,0
86,100000,180000,0
114,100000,460000,0
115,100000,470000,0
116,100000,480000,0
117,100000,490000,0
118,100000,500000,0
119,100000,510000,0
120,100000,520000,0
121,100000,530000,0
122,100000,540000,0
123,100000,550000,0
124,100000,560000,0
125,100000,570000,0
126,100000,580000,0
127,100000,590000,0
128,100000,600000,0
129,100000,610000,0
130,100000,620000,0
131,100000,630000,0
132,100000,640000,0
133,100000,650000,0
134,100000,660000,0
135,100000,670000,0
136,100000,680000,0
137,100000,690000,0
138,100000,700000,0
139,100000,710000,0
140,100000,720000,0
141,100000,730000,0
142,110000,30000,0
143,110000,40000,0
144,110000,50000,0
145,110000,60000,0
146,110000,70000,0
147,110000,80000,0
148,110000,90000,0
149,110000,100000,0
150,110000,110000,0
151,110000,120000,0
152,110000,130000,0
153,110000,140000,0
154,110000,150000,0
155,110000,160000,0
156,110000,170000,0
157,110000,180000,0
158,110000,190000,0
184,110000,450000,0
185,110000,460000,0
186,110000,470000,0
187,110000,480000,0
188,110000,490000,0
189,110000,500000,0
190,110000,510000,0
191,110000,520000,0
192,110000,530000,0
193,110000,540000,0
194,110000,550000,0
195,110000,560000,0
196,110000,570000,0
197,110000,580000,0
198,110000,590000,0
199,110000,600000,0
200,110000,610000,0
201,110000,620000,0
202,110000,630000,0
203,110000,640000,0
204,110000,650000,0
205,110000,660000,0
206,110000,670000,0
207,110000,680000,0
208,110000,690000,0
209,110000,700000,0
210,110000,710000,0
211,110000,720000,0
212,110000,730000,0
213,120000,30000,0
214,120000,40000,0
215,120000,50000,0
216,120000,60000,0
217,120000,70000,0
218,120000,80000,0
219,120000,90000,0
220,120000,100000,0
221,120000,110000,0
222,120000,120000,0
223,120000,130000,0
224,120000,140000,0
225,120000,150000,0
226,120000,160000,0
227,120000,170000,0
228,120000,180000,0
229,120000,190000,0
255,120000,450000,0
256,120000,460000,0
257,120000,470000,0
258,120000,480000,0
259,120000,490000,0
260,120000,500000,0
261,120000,510000,0
262,120000,520000,0
263,120000,530000,0
264,120000,540000,0
265,120000,550000,0
266,120000,560000,0
267,120000,570000,0
268,120000,580000,0
269,120000,590000,0
270,120000,600000,0
271,120000,610000,0
272,120000,620000,0
273,120000,630000,0
274,120000,640000,0
275,120000,650000,0
276,120000,660000,0
277,120000,670000,0
278,120000,680000,0
279,120000,690000,0
280,120000,700000,0
281,120000,710000,0
282,120000,720000,0
283,120000,730000,0
284,130000,30000,0
285,130000,40000,0
286,130000,50000,0
287,130000,60000,0
288,130000,70000,0
289,130000,80000,0
290,130000,90000,0
291,130000,100000,0
292,130000,110000,0
293,130000,120000,0
294,130000,130000,0
295,130000,140000,0
296,130000,150000,0
297,130000,160000,0
298,130000,170000,0
299,130000,180000,0
300,130000,190000,0
301,130000,200000,0
325,130000,440000,0
326,130000,450000,0
327,130000,460000,0
328,130000,470000,0
329,130000,480000,0
330,130000,490000,0
331,130000,500000,0
332,130000,510000,0
333,130000,520000,0
334,130000,530000,0
335,130000,540000,0
