,x_location,y_location,predicted_rank
34,40000,370000,0
38,40000,410000,0
39,40000,420000,0
40,40000,430000,0
41,40000,440000,0
42,40000,450000,0
43,40000,460000,0
105,50000,370000,0
109,50000,410000,0
110,50000,420000,0
111,50000,430000,0
112,50000,440000,0
113,50000,450000,0
114,50000,460000,0
181,60000,420000,0
182,60000,430000,0
183,60000,440000,0
184,60000,450000,0
185,60000,460000,0
252,70000,420000,0
253,70000,430000,0
254,70000,440000,0
255,70000,450000,0
256,70000,460000,0
324,80000,430000,0
325,80000,440000,0
326,80000,450000,0
327,80000,460000,0
328,80000,470000,0
336,80000,550000,0
395,90000,430000,0
396,90000,440000,0
397,90000,450000,0
398,90000,460000,0
399,90000,470000,0
400,90000,480000,0
466,100000,430000,0
467,100000,440000,0
468,100000,450000,0
469,100000,460000,0
470,100000,470000,0
471,100000,480000,0
472,100000,490000,0
536,110000,420000,0
537,110000,430000,0
538,110000,440000,0
539,110000,450000,0
540,110000,460000,0
541,110000,470000,0
542,110000,480000,0
543,110000,490000,0
544,110000,500000,0
545,110000,510000,0
607,120000,420000,0
608,120000,430000,0
609,120000,440000,0
610,120000,450000,0
611,120000,460000,0
612,120000,470000,0
613,120000,480000,0
614,120000,490000,0
615,120000,500000,0
678,130000,420000,0
679,130000,430000,0
680,130000,440000,0
681,130000,450000,0
682,130000,460000,0
683,130000,470000,0
684,130000,480000,0
685,130000,490000,0
686,130000,500000,0
687,130000,510000,0
750,140000,430000,0
751,140000,440000,0
752,140000,450000,0
753,140000,460000,0
754,140000,470000,0
755,140000,480000,0
756,140000,490000,0
757,140000,500000,0
758,140000,510000,0
760,140000,530000,0
822,150000,440000,0
823,150000,450000,0
824,150000,460000,0
825,150000,470000,0
826,150000,480000,0
827,150000,490000,0
828,150000,500000,0
831,150000,530000,0
893,160000,440000,0
894,160000,450000,0
895,160000,460000,0
896,160000,470000,0
897,160000,480000,0
898,160000,490000,0
899,160000,500000,0
901,160000,520000,0
964,170000,440000,0
965,170000,450000,0
966,170000,460000,0
967,170000,470000,0
968,170000,480000,0
969,170000,490000,0
970,170000,500000,0
975,170000,550000,0
1034,180000,430000,0
1035,180000,440000,0
1036,180000,450000,0
1037,180000,460000,0
1038,180000,470000,0
1039,180000,480000,0
1040,180000,490000,0
1041,180000,500000,0
1042,180000,510000,0
1044,180000,530000,0
1046,180000,550000,0
1047,180000,560000,0
1104,190000,420000,0
1105,190000,430000,0
1106,190000,440000,0
1107,190000,450000,0
1108,190000,460000,0
1109,190000,470000,0
1110,190000,480000,0
1111,190000,490000,0
1112,190000,500000,0
1113,190000,510000,0
1114,190000,520000,0
1116,190000,540000,0
1117,190000,550000,0
1118,190000,560000,0
1175,200000,420000,0
1176,200000,430000,0
1177,200000,440000,0
1178,200000,450000,0
1179,200000,460000,0
1180,200000,470000,0
1181,200000,480000,0
1182,200000,490000,0
1183,200000,500000,0
1184,200000,510000,0
1185,200000,520000,0
1186,200000,530000,0
1187,200000,540000,0
1188,200000,550000,0
1189,200000,560000,0
1207,210000,30000,0
1208,210000,40000,0
1245,210000,410000,0
1246,210000,420000,0
1247,210000,430000,0
1248,210000,440000,0
1249,210000,450000,0
1250,210000,460000,0
1251,210000,470000,0
1252,210000,480000,0
1253,210000,490000,0
1254,210000,500000,0
1255,210000,510000,0
1256,210000,520000,0
1257,210000,530000,0
1258,210000,540000,0
1259,210000,550000,0
1260,210000,560000,0
1261,210000,570000,0
1278,220000,30000,0
1279,220000,40000,0
1280,220000,50000,0
1316,220000,410000,0
1317,220000,420000,0
1318,220000,430000,0
1319,220000,440000,0
1320,220000,450000,0
1321,220000,460000,0
1322,220000,470000,0
1323,220000,480000,0
1324,220000,490000,0
1325,220000,500000,0
1326,220000,510000,0
1327,220000,520000,0
1328,220000,530000,0
1329,220000,540000,0
1330,220000,550000,0
1331,220000,560000,0
1332,220000,570000,0
1349,230000,30000,0
1350,230000,40000,0
1351,230000,50000,0
1352,230000,60000,0
1387,230000,410000,0
1388,230000,420000,0
1389,230000,430000,0
1390,230000,440000,0
1391,230000,450000,0
1392,230000,460000,0
1393,230000,470000,0
1394,230000,480000,0
1395,230000,490000,0
1396,230000,500000,0
1397,230000,510000,0
1398,230000,520000,0
1399,230000,530000,0
1400,230000,540000,0
1401,230000,550000,0
1402,230000,560000,0
1403,230000,570000,0
1404,230000,580000,0
1420,240000,30000,0
1421,240000,40000,0
1422,240000,50000,0
1423,240000,60000,0
1424,240000,70000,0
1458,240000,410000,0
1459,240000,420000,0
1460,240000,430000,0
1461,240000,440000,0
1462,240000,450000,0
1463,240000,460000,0
1464,240000,470000,0
1465,240000,480000,0
1466,240000,490000,0
1467,240000,500000,0
1468,240000,510000,0
1469,240000,520000,0
1470,240000,530000,0
1471,240000,540000,0
1472,240000,550000,0
1473,240000,560000,0
1474,240000,570000,0
1475,240000,580000,0
1491,250000,30000,0
1492,250000,40000,0
1493,250000,50000,0
1494,250000,60000,0
1495,250000,70000,0
1496,250000,80000,0
1497,250000,90000,0
1525,250000,370000,0
1526,250000,380000,0
1527,250000,390000,0
1528,250000,400000,0
1529,250000,410000,0
1530,250000,420000,0
1531,250000,430000,0
1532,250000,440000,0
1533,250000,450000,0
1534,250000,460000,0
1535,250000,470000,0
1536,250000,480000,0
1537,250000,490000,0
1538,250000,500000,0
1539,250000,510000,0
1540,250000,520000,0
1541,250000,530000,0
1542,250000,540000,0
1543,250000,550000,0
1544,250000,560000,0
1545,250000,570000,0
1546,250000,580000,0
1562,260000,30000,0
1563,260000,40000,0
1564,260000,50000,0
1565,260000,60000,0
1566,260000,70000,0
1567,260000,80000,0
1568,260000,90000,0
1569,260000,100000,0
1570,260000,110000,0
1594,260000,350000,0
1595,260000,360000,0
1596,260000,370000,0
1597,260000,380000,0
1598,260000,390000,0
1599,260000,400000,0
1600,260000,410000,0
1601,260000,420000,0
1602,260000,430000,0
1603,260000,440000,0
1604,260000,450000,0
1605,260000,460000,0
1606,260000,470000,0
1607,260000,480000,0
1608,260000,490000,0
1609,260000,500000,0
1610,260000,510000,0
1611,260000,520000,0
1612,260000,530000,0
1613,260000,540000,0
1614,260000,550000,0
1615,260000,560000,0
1616,260000,570000,0
1633,270000,30000,0
1634,270000,40000,0
1635,270000,50000,0
1636,270000,60000,0
1637,270000,70000,0
1638,270000,80000,0
1639,270000,90000,0
1640,270000,100000,0
1641,270000,110000,0
1642,270000,120000,0
1666,270000,360000,0
1667,270000,370000,0
1668,270000,380000,0
1669,270000,390000,0
1670,270000,400000,0
1671,270000,410000,0
1672,270000,420000,0
1673,270000,430000,0
1674,270000,440000,0
1675,270000,450000,0
1676,270000,460000,0
1677,270000,470000,0
1678,270000,480000,0
1679,270000,490000,0
1680,270000,500000,0
1681,270000,510000,0
1682,270000,520000,0
1683,270000,530000,0
1684,270000,540000,0
1685,270000,550000,0
1686,270000,560000,0
1687,270000,570000,0
1688,270000,580000,0
1704,280000,30000,0
1705,280000,40000,0
1706,280000,50000,0
1707,280000,60000,0
1708,280000,70000,0
1709,280000,80000,0
1711,280000,100000,0
1712,280000,110000,0
1713,280000,120000,0
1714,280000,130000,0
1715,280000,140000,0
1738,280000,370000,0
1739,280000,380000,0
1740,280000,390000,0
1741,280000,400000,0
1742,280000,410000,0
1743,280000,420000,0
1744,280000,430000,0
1745,280000,440000,0
1746,280000,450000,0
1747,280000,460000,0
1748,280000,470000,0
1749,280000,480000,0
1750,280000,490000,0
1751,280000,500000,0
1752,280000,510000,0
1753,280000,520000,0
1754,280000,530000,0
1755,280000,540000,0
1756,280000,550000,0
1757,280000,560000,0
1758,280000,570000,0
1759,280000,580000,0
1775,290000,30000,0
1776,290000,40000,0
1777,290000,50000,0
1778,290000,60000,0
1779,290000,70000,0
1780,290000,80000,0
1781,290000,90000,0
1782,290000,100000,0
1783,290000,110000,0
1784,290000,120000,0
1785,290000,130000,0
1786,290000,140000,0
1787,290000,150000,0
1809,290000,370000,0
1810,290000,380000,0
1811,290000,390000,0
1812,290000,400000,0
1813,290000,410000,0
1814,290000,420000,0
1815,290000,430000,0
1816,290000,440000,0
1817,290000,450000,0
1818,290000,460000,0
1819,290000,470000,0
1820,290000,480000,0
1821,290000,490000,0
1822,290000,500000,0
1823,290000,510000,0
1824,290000,520000,0
1825,290000,530000,0
1826,290000,540000,0
1827,290000,550000,0
1828,290000,560000,0
1829,290000,570000,0
1830,290000,580000,0
1831,290000,590000,0
1846,300000,30000,0
1847,300000,40000,0
1848,300000,50000,0
1849,300000,60000,0
1850,300000,70000,0
1851,300000,80000,0
1852,300000,90000,0
1854,300000,110000,0
1855,300000,120000,0
1856,300000,130000,0
1857,300000,140000,0
1858,300000,150000,0
1877,300000,340000,0
1878,300000,350000,0
1879,300000,360000,0
1880,300000,370000,0
1881,300000,380000,0
1882,300000,390000,0
1883,300000,400000,0
1884,300000,410000,0
1885,300000,420000,0
1886,300000,430000,0
1887,300000,440000,0
1888,300000,450000,0
1889,300000,460000,0
1890,300000,470000,0
1891,300000,480000,0
1892,300000,490000,0
1893,300000,500000,0
1894,300000,510000,0
1895,300000,520000,0
1896,300000,530000,0
1897,300000,540000,0
1898,300000,550000,0
1899,300000,560000,0
1900,300000,570000,0
1901,300000,580000,0
1902,300000,590000,0
1903,300000,600000,0
1917,310000,30000,0
1918,310000,40000,0
1919,310000,50000,0
1920,310000,60000,0
1921,310000,70000,0
1922,310000,80000,0
1923,310000,90000,0
1926,310000,120000,0
1927,310000,130000,0
1928,310000,140000,0
1929,310000,150000,0
1947,310000,330000,0
1948,310000,340000,0
1949,310000,350000,0
1950,310000,360000,0
1951,310000,370000,0
1952,310000,380000,0
1953,310000,390000,0
1954,310000,400000,0
1955,310000,410000,0
1956,310000,420000,0
1957,310000,430000,0
1958,310000,440000,0
1959,310000,450000,0
1960,310000,460000,0
1961,310000,470000,0
1962,310000,480000,0
1963,310000,490000,0
1964,310000,500000,0
1965,310000,510000,0
1966,310000,520000,0
1967,310000,530000,0
1968,310000,540000,0
1969,310000,550000,0
1970,310000,560000,0
1971,310000,570000,0
1972,310000,580000,0
1973,310000,590000,0
1974,310000,600000,0
1988,320000,30000,0
1989,320000,40000,0
1990,320000,50000,0
1991,320000,60000,0
1992,320000,70000,0
1993,320000,80000,0
1994,320000,90000,0
1995,320000,100000,0
1998,320000,130000,0
1999,320000,140000,0
2000,320000,150000,0
2016,320000,310000,0
2021,320000,360000,0
2022,320000,370000,0
2023,320000,380000,0
2024,320000,390000,0
2025,320000,400000,0
2026,320000,410000,0
2027,320000,420000,0
2028,320000,430000,0
2029,320000,440000,0
2031,320000,460000,0
2032,320000,470000,0
2033,320000,480000,0
2034,320000,490000,0
2035,320000,500000,0
2036,320000,510000,0
2037,320000,520000,0
2038,320000,530000,0
2039,320000,540000,0
2040,320000,550000,0
2041,320000,560000,0
2042,320000,570000,0
2043,320000,580000,0
2044,320000,590000,0
2045,320000,600000,0
2046,320000,610000,0
2059,330000,30000,0
2060,330000,40000,0
2061,330000,50000,0
2062,330000,60000,0
2063,330000,70000,0
2064,330000,80000,0
2065,330000,90000,0
2066,330000,100000,0
2067,330000,110000,0
2069,330000,130000,0
2070,330000,140000,0
2071,330000,150000,0
2076,330000,200000,0
2091,330000,350000,0
2096,330000,400000,0
2098,330000,420000,0
2102,330000,460000,0
2103,330000,470000,0
2104,330000,480000,0
2105,330000,490000,0
2106,330000,500000,0
2107,330000,510000,0
2108,330000,520000,0
2109,330000,530000,0
2110,330000,540000,0
2111,330000,550000,0
2112,330000,560000,0
2113,330000,570000,0
2114,330000,580000,0
2115,330000,590000,0
2116,330000,600000,0
2117,330000,610000,0
2130,340000,30000,0
2131,340000,40000,0
2132,340000,50000,0
2133,340000,60000,0
2134,340000,70000,0
2135,340000,80000,0
2136,340000,90000,0
2137,340000,100000,0
2138,340000,110000,0
2139,340000,120000,0
2140,340000,130000,0
2141,340000,140000,0
2142,340000,150000,0
2145,340000,180000,0
2146,340000,190000,0
2147,340000,200000,0
2159,340000,320000,0
2160,340000,330000,0
2167,340000,400000,0
2168,340000,410000,0
2173,340000,460000,0
2174,340000,470000,0
2175,340000,480000,0
2176,340000,490000,0
2177,340000,500000,0
2178,340000,510000,0
2179,340000,520000,0
2180,340000,530000,0
2181,340000,540000,0
2182,340000,550000,0
2183,340000,560000,0
2184,340000,570000,0
2185,340000,580000,0
2186,340000,590000,0
2187,340000,600000,0
2188,340000,610000,0
2190,340000,630000,0
2201,350000,30000,0
2202,350000,40000,0
2203,350000,50000,0
2204,350000,60000,0
2205,350000,70000,0
2206,350000,80000,0
2207,350000,90000,0
2208,350000,100000,0
2209,350000,110000,0
2210,350000,120000,0
2211,350000,130000,0
2212,350000,140000,0
2213,350000,150000,0
2215,350000,170000,0
2216,350000,180000,0
2217,350000,190000,0
2218,350000,200000,0
2239,350000,410000,0
2245,350000,470000,0
2246,350000,480000,0
2248,350000,500000,0
2249,350000,510000,0
2250,350000,520000,0
2251,350000,530000,0
2252,350000,540000,0
2253,350000,550000,0
2254,350000,560000,0
2255,350000,570000,0
2256,350000,580000,0
2257,350000,590000,0
2258,350000,600000,0
2259,350000,610000,0
2261,350000,630000,0
2272,360000,30000,0
2273,360000,40000,0
2274,360000,50000,0
2275,360000,60000,0
2276,360000,70000,0
2277,360000,80000,0
2278,360000,90000,0
2279,360000,100000,0
2280,360000,110000,0
2281,360000,120000,0
2282,360000,130000,0
2283,360000,140000,0
2285,360000,160000,0
2286,360000,170000,0
2287,360000,180000,0
2288,360000,190000,0
2289,360000,200000,0
2290,360000,210000,0
2302,360000,330000,0
2316,360000,470000,0
2317,360000,480000,0
2318,360000,490000,0
2319,360000,500000,0
2320,360000,510000,0
2321,360000,520000,0
2322,360000,530000,0
2323,360000,540000,0
2324,360000,550000,0
2325,360000,560000,0
2326,360000,570000,0
2327,360000,580000,0
2328,360000,590000,0
2331,360000,620000,0
2343,370000,30000,0
2344,370000,40000,0
2345,370000,50000,0
2346,370000,60000,0
2347,370000,70000,0
2348,370000,80000,0
2349,370000,90000,0
2350,370000,100000,0
2351,370000,110000,0
2352,370000,120000,0
2353,370000,130000,0
2354,370000,140000,0
2355,370000,150000,0
2356,370000,160000,0
2357,370000,170000,0
2358,370000,180000,0
2359,370000,190000,0
2373,370000,330000,0
2387,370000,470000,0
2388,370000,480000,0
2389,370000,490000,0
2390,370000,500000,0
2391,370000,510000,0
2392,370000,520000,0
2393,370000,530000,0
2394,370000,540000,0
2395,370000,550000,0
2396,370000,560000,0
2397,370000,570000,0
2398,370000,580000,0
2399,370000,590000,0
2400,370000,600000,0
2402,370000,620000,0
2414,380000,30000,0
2415,380000,40000,0
2416,380000,50000,0
2417,380000,60000,0
2418,380000,70000,0
2419,380000,80000,0
2420,380000,90000,0
2421,380000,100000,0
2422,380000,110000,0
2423,380000,120000,0
2424,380000,130000,0
2425,380000,140000,0
2426,380000,150000,0
2427,380000,160000,0
2428,380000,170000,0
2429,380000,180000,0
2444,380000,330000,0
2445,380000,340000,0
2446,380000,350000,0
2458,380000,470000,0
2459,380000,480000,0
2460,380000,490000,0
2461,380000,500000,0
2462,380000,510000,0
2463,380000,520000,0
2464,380000,530000,0
2465,380000,540000,0
2466,380000,550000,0
2467,380000,560000,0
2469,380000,580000,0
2470,380000,590000,0
2471,380000,600000,0
2485,390000,30000,0
2486,390000,40000,0
2487,390000,50000,0
2488,390000,60000,0
2489,390000,70000,0
2490,390000,80000,0
2491,390000,90000,0
2492,390000,100000,0
2493,390000,110000,0
2494,390000,120000,0
2495,390000,130000,0
2496,390000,140000,0
2497,390000,150000,0
2498,390000,160000,0
2499,390000,170000,0
2515,390000,330000,0
2516,390000,340000,0
2517,390000,350000,0
2529,390000,470000,0
2530,390000,480000,0
2531,390000,490000,0
2532,390000,500000,0
2533,390000,510000,0
2534,390000,520000,0
2535,390000,530000,0
2536,390000,540000,0
2537,390000,550000,0
2538,390000,560000,0
2539,390000,570000,0
2540,390000,580000,0
2541,390000,590000,0
2542,390000,600000,0
2556,400000,30000,0
2557,400000,40000,0
2558,400000,50000,0
2559,400000,60000,0
2560,400000,70000,0
2561,400000,80000,0
2562,400000,90000,0
2563,400000,100000,0
2564,400000,110000,0
2565,400000,120000,0
2566,400000,130000,0
2567,400000,140000,0
2568,400000,150000,0
2569,400000,160000,0
2570,400000,170000,0
2585,400000,320000,0
2586,400000,330000,0
2587,400000,340000,0
2588,400000,350000,0
2589,400000,360000,0
2600,400000,470000,0
2601,400000,480000,0
2602,400000,490000,0
2603,400000,500000,0
2604,400000,510000,0
2605,400000,520000,0
2606,400000,530000,0
2607,400000,540000,0
2608,400000,550000,0
2609,400000,560000,0
2610,400000,570000,0
2611,400000,580000,0
2612,400000,590000,0
2613,400000,600000,0
2627,410000,30000,0
2628,410000,40000,0
2629,410000,50000,0
2630,410000,60000,0
2631,410000,70000,0
2633,410000,90000,0
2634,410000,100000,0
2635,410000,110000,0
2636,410000,120000,0
2637,410000,130000,0
2638,410000,140000,0
2639,410000,150000,0
2640,410000,160000,0
2643,410000,190000,0
2647,410000,230000,0
2656,410000,320000,0
2657,410000,330000,0
2658,410000,340000,0
2671,410000,470000,0
2672,410000,480000,0
2673,410000,490000,0
2674,410000,500000,0
2675,410000,510000,0
2676,410000,520000,0
2677,410000,530000,0
2678,410000,540000,0
2679,410000,550000,0
2680,410000,560000,0
2681,410000,570000,0
2682,410000,580000,0
2683,410000,590000,0
2684,410000,600000,0
2698,420000,30000,0
2699,420000,40000,0
2700,420000,50000,0
2701,420000,60000,0
2704,420000,90000,0
2705,420000,100000,0
2706,420000,110000,0
2707,420000,120000,0
2708,420000,130000,0
2709,420000,140000,0
2710,420000,150000,0
2714,420000,190000,0
2717,420000,220000,0
2718,420000,230000,0
2719,420000,240000,0
2720,420000,250000,0
2726,420000,310000,0
2727,420000,320000,0
2728,420000,330000,0
2742,420000,470000,0
2743,420000,480000,0
2744,420000,490000,0
2745,420000,500000,0
2746,420000,510000,0
2747,420000,520000,0
2748,420000,530000,0
2749,420000,540000,0
2750,420000,550000,0
2751,420000,560000,0
2752,420000,570000,0
2753,420000,580000,0
2754,420000,590000,0
2755,420000,600000,0
2756,420000,610000,0
2769,430000,30000,0
2770,430000,40000,0
2774,430000,80000,0
2775,430000,90000,0
2776,430000,100000,0
2777,430000,110000,0
2778,430000,120000,0
2779,430000,130000,0
2780,430000,140000,0
2784,430000,180000,0
2787,430000,210000,0
2788,430000,220000,0
2789,430000,230000,0
2790,430000,240000,0
2791,430000,250000,0
2792,430000,260000,0
2797,430000,310000,0
2798,430000,320000,0
2799,430000,330000,0
2813,430000,470000,0
2814,430000,480000,0
2815,430000,490000,0
2816,430000,500000,0
2817,430000,510000,0
2818,430000,520000,0
2819,430000,530000,0
2820,430000,540000,0
2821,430000,550000,0
2822,430000,560000,0
2823,430000,570000,0
2824,430000,580000,0
2825,430000,590000,0
2826,430000,600000,0
2827,430000,610000,0
2840,440000,30000,0
2841,440000,40000,0
2844,440000,70000,0
2845,440000,80000,0
2846,440000,90000,0
2847,440000,100000,0
2848,440000,110000,0
2849,440000,120000,0
2850,440000,130000,0
2858,440000,210000,0
2859,440000,220000,0
2860,440000,230000,0
2861,440000,240000,0
2862,440000,250000,0
2863,440000,260000,0
2869,440000,320000,0
2870,440000,330000,0
2882,440000,450000,0
2883,440000,460000,0
2884,440000,470000,0
2885,440000,480000,0
2886,440000,490000,0
2887,440000,500000,0
2888,440000,510000,0
2889,440000,520000,0
2890,440000,530000,0
2891,440000,540000,0
2892,440000,550000,0
2893,440000,560000,0
2894,440000,570000,0
2898,440000,610000,0
2911,450000,30000,0
2914,450000,60000,0
2915,450000,70000,0
2916,450000,80000,0
2917,450000,90000,0
2918,450000,100000,0
2919,450000,110000,0
2927,450000,190000,0
2928,450000,200000,0
2929,450000,210000,0
2930,450000,220000,0
2931,450000,230000,0
2932,450000,240000,0
2933,450000,250000,0
2934,450000,260000,0
2940,450000,320000,0
2953,450000,450000,0
2954,450000,460000,0
2955,450000,470000,0
2956,450000,480000,0
2957,450000,490000,0
2958,450000,500000,0
2959,450000,510000,0
2960,450000,520000,0
2961,450000,530000,0
2962,450000,540000,0
2963,450000,550000,0
2964,450000,560000,0
2969,450000,610000,0
2984,460000,50000,0
2985,460000,60000,0
2986,460000,70000,0
2987,460000,80000,0
2988,460000,90000,0
2989,460000,100000,0
2998,460000,190000,0
2999,460000,200000,0
3000,460000,210000,0
3001,460000,220000,0
3002,460000,230000,0
3003,460000,240000,0
3004,460000,250000,0
3005,460000,260000,0
3006,460000,270000,0
3011,460000,320000,0
3027,460000,480000,0
3028,460000,490000,0
3029,460000,500000,0
3030,460000,510000,0
3031,460000,520000,0
3032,460000,530000,0
3033,460000,540000,0
3034,460000,550000,0
3035,460000,560000,0
3068,470000,180000,0
3069,470000,190000,0
3070,470000,200000,0
3071,470000,210000,0
3072,470000,220000,0
3073,470000,230000,0
3074,470000,240000,0
3075,470000,250000,0
3076,470000,260000,0
3077,470000,270000,0
3082,470000,320000,0
3083,470000,330000,0
3084,470000,340000,0
3085,470000,350000,0
3102,470000,520000,0
3103,470000,530000,0
3105,470000,550000,0
3110,470000,600000,0
3112,470000,620000,0
3139,480000,180000,0
3140,480000,190000,0
3141,480000,200000,0
3142,480000,210000,0
3143,480000,220000,0
3144,480000,230000,0
3145,480000,240000,0
3146,480000,250000,0
3147,480000,260000,0
3148,480000,270000,0
3153,480000,320000,0
3154,480000,330000,0
3157,480000,360000,0
3177,480000,560000,0
3179,480000,580000,0
3180,480000,590000,0
3181,480000,600000,0
3182,480000,610000,0
3183,480000,620000,0
3211,490000,190000,0
3212,490000,200000,0
3213,490000,210000,0
3214,490000,220000,0
3215,490000,230000,0
3216,490000,240000,0
3217,490000,250000,0
3218,490000,260000,0
3219,490000,270000,0
3248,490000,560000,0
3249,490000,570000,0
3250,490000,580000,0
3251,490000,590000,0
3252,490000,600000,0
3253,490000,610000,0
3282,500000,190000,0
3283,500000,200000,0
3284,500000,210000,0
3285,500000,220000,0
3286,500000,230000,0
3287,500000,240000,0
3288,500000,250000,0
3289,500000,260000,0
3290,500000,270000,0
3291,500000,280000,0
3319,500000,560000,0
3320,500000,570000,0
3321,500000,580000,0
3322,500000,590000,0
3323,500000,600000,0
3324,500000,610000,0
3347,510000,130000,0
3351,510000,170000,0
3352,510000,180000,0
3353,510000,190000,0
3354,510000,200000,0
3355,510000,210000,0
3356,510000,220000,0
3357,510000,230000,0
3358,510000,240000,0
3359,510000,250000,0
3360,510000,260000,0
3361,510000,270000,0
3362,510000,280000,0
3391,510000,570000,0
3392,510000,580000,0
3393,510000,590000,0
3394,510000,600000,0
3395,510000,610000,0
3417,520000,120000,0
3419,520000,140000,0
3422,520000,170000,0
3423,520000,180000,0
3424,520000,190000,0
3425,520000,200000,0
3428,520000,230000,0
3429,520000,240000,0
3430,520000,250000,0
3431,520000,260000,0
3432,520000,270000,0
3460,520000,550000,0
3462,520000,570000,0
3463,520000,580000,0
3464,520000,590000,0
3465,520000,600000,0
3485,530000,90000,0
3486,530000,100000,0
3487,530000,110000,0
3488,530000,120000,0
3490,530000,140000,0
3491,530000,150000,0
3495,530000,190000,0
3496,530000,200000,0
3497,530000,210000,0
3501,530000,250000,0
3502,530000,260000,0
3503,530000,270000,0
3532,530000,560000,0
3534,530000,580000,0
3535,530000,590000,0
3536,530000,600000,0
3557,540000,100000,0
3558,540000,110000,0
3559,540000,120000,0
3560,540000,130000,0
3561,540000,140000,0
3562,540000,150000,0
3563,540000,160000,0
3570,540000,230000,0
3572,540000,250000,0
3573,540000,260000,0
3574,540000,270000,0
3604,540000,570000,0
3605,540000,580000,0
3606,540000,590000,0
3622,550000,40000,0
3623,550000,50000,0
3624,550000,60000,0
3625,550000,70000,0
3626,550000,80000,0
3627,550000,90000,0
3629,550000,110000,0
3630,550000,120000,0
3631,550000,130000,0
3632,550000,140000,0
3633,550000,150000,0
3634,550000,160000,0
3635,550000,170000,0
3644,550000,260000,0
3676,550000,580000,0
3677,550000,590000,0
3698,560000,90000,0
3699,560000,100000,0
3700,560000,110000,0
3702,560000,130000,0
3703,560000,140000,0
3704,560000,150000,0
