,x_location,y_location,predicted_rank
9,40000,120000,0
10,40000,130000,0
11,40000,140000,0
12,40000,150000,0
13,40000,160000,0
14,40000,170000,0
15,40000,180000,0
50,40000,530000,0
51,40000,540000,0
52,40000,550000,0
53,40000,560000,0
54,40000,570000,0
55,40000,580000,0
56,40000,590000,0
57,40000,600000,0
80,50000,120000,0
81,50000,130000,0
82,50000,140000,0
83,50000,150000,0
84,50000,160000,0
85,50000,170000,0
86,50000,180000,0
121,50000,530000,0
122,50000,540000,0
123,50000,550000,0
124,50000,560000,0
125,50000,570000,0
126,50000,580000,0
127,50000,590000,0
152,60000,130000,0
153,60000,140000,0
154,60000,150000,0
155,60000,160000,0
156,60000,170000,0
157,60000,180000,0
192,60000,530000,0
193,60000,540000,0
194,60000,550000,0
195,60000,560000,0
196,60000,570000,0
197,60000,580000,0
223,70000,130000,0
224,70000,140000,0
225,70000,150000,0
226,70000,160000,0
227,70000,170000,0
228,70000,180000,0
230,70000,200000,0
263,70000,530000,0
264,70000,540000,0
265,70000,550000,0
266,70000,560000,0
267,70000,570000,0
268,70000,580000,0
294,80000,130000,0
295,80000,140000,0
296,80000,150000,0
297,80000,160000,0
298,80000,170000,0
299,80000,180000,0
304,80000,230000,0
333,80000,520000,0
334,80000,530000,0
335,80000,540000,0
336,80000,550000,0
337,80000,560000,0
338,80000,570000,0
366,90000,140000,0
367,90000,150000,0
368,90000,160000,0
369,90000,170000,0
373,90000,210000,0
374,90000,220000,0
375,90000,230000,0
376,90000,240000,0
405,90000,530000,0
406,90000,540000,0
407,90000,550000,0
408,90000,560000,0
437,100000,140000,0
438,100000,150000,0
439,100000,160000,0
440,100000,170000,0
444,100000,210000,0
445,100000,220000,0
446,100000,230000,0
476,100000,530000,0
477,100000,540000,0
478,100000,550000,0
509,110000,150000,0
510,110000,160000,0
511,110000,170000,0
515,110000,210000,0
516,110000,220000,0
517,110000,230000,0
518,110000,240000,0
548,110000,540000,0
581,120000,160000,0
582,120000,170000,0
586,120000,210000,0
587,120000,220000,0
588,120000,230000,0
589,120000,240000,0
619,120000,540000,0
657,130000,210000,0
658,130000,220000,0
659,130000,230000,0
660,130000,240000,0
728,140000,210000,0
729,140000,220000,0
730,140000,230000,0
731,140000,240000,0
736,140000,290000,0
798,150000,200000,0
799,150000,210000,0
800,150000,220000,0
801,150000,230000,0
802,150000,240000,0
808,150000,300000,0
809,150000,310000,0
867,160000,180000,0
868,160000,190000,0
869,160000,200000,0
870,160000,210000,0
871,160000,220000,0
872,160000,230000,0
873,160000,240000,0
939,170000,190000,0
940,170000,200000,0
941,170000,210000,0
942,170000,220000,0
948,170000,280000,0
964,170000,440000,0
965,170000,450000,0
1008,180000,170000,0
1009,180000,180000,0
1010,180000,190000,0
1011,180000,200000,0
1012,180000,210000,0
1017,180000,260000,0
1018,180000,270000,0
1035,180000,440000,0
1036,180000,450000,0
1038,180000,470000,0
1089,190000,270000,0
1090,190000,280000,0
1106,190000,440000,0
1109,190000,470000,0
1110,190000,480000,0
1112,190000,500000,0
1159,200000,260000,0
1160,200000,270000,0
1181,200000,480000,0
1230,210000,260000,0
1231,210000,270000,0
1278,220000,30000,0
1280,220000,50000,0
1281,220000,60000,0
1301,220000,260000,0
1302,220000,270000,0
1349,230000,30000,0
1350,230000,40000,0
1351,230000,50000,0
1352,230000,60000,0
1393,230000,470000,0
1420,240000,30000,0
1421,240000,40000,0
1422,240000,50000,0
1423,240000,60000,0
1491,250000,30000,0
1492,250000,40000,0
1493,250000,50000,0
1495,250000,70000,0
1566,260000,70000,0
1668,270000,380000,0
1676,270000,460000,0
1677,270000,470000,0
1733,280000,320000,0
1734,280000,330000,0
1735,280000,340000,0
1746,280000,450000,0
1747,280000,460000,0
1748,280000,470000,0
1780,290000,80000,0
1801,290000,290000,0
1802,290000,300000,0
1803,290000,310000,0
1804,290000,320000,0
1805,290000,330000,0
1806,290000,340000,0
1807,290000,350000,0
1808,290000,360000,0
1812,290000,400000,0
1853,300000,100000,0
1870,300000,270000,0
1871,300000,280000,0
1872,300000,290000,0
1873,300000,300000,0
1874,300000,310000,0
1875,300000,320000,0
