,x_location,y_location,predicted_rank
0,40000,30000,0
1,40000,40000,0
2,40000,50000,0
3,40000,60000,0
4,40000,70000,0
5,40000,80000,0
6,40000,90000,0
7,40000,100000,0
8,40000,110000,0
9,40000,120000,0
10,40000,130000,0
11,40000,140000,0
12,40000,150000,0
13,40000,160000,0
14,40000,170000,0
15,40000,180000,0
16,40000,190000,0
36,40000,390000,0
71,50000,30000,0
72,50000,40000,0
73,50000,50000,0
74,50000,60000,0
75,50000,70000,0
76,50000,80000,0
77,50000,90000,0
78,50000,100000,0
79,50000,110000,0
80,50000,120000,0
81,50000,130000,0
82,50000,140000,0
83,50000,150000,0
84,50000,160000,0
85,50000,170000,0
86,50000,180000,0
87,50000,190000,0
107,50000,390000,0
142,60000,30000,0
143,60000,40000,0
144,60000,50000,0
145,60000,60000,0
146,60000,70000,0
147,60000,80000,0
148,60000,90000,0
149,60000,100000,0
150,60000,110000,0
151,60000,120000,0
152,60000,130000,0
153,60000,140000,0
154,60000,150000,0
155,60000,160000,0
156,60000,170000,0
157,60000,180000,0
158,60000,190000,0
159,60000,200000,0
177,60000,380000,0
178,60000,390000,0
213,70000,30000,0
214,70000,40000,0
215,70000,50000,0
216,70000,60000,0
217,70000,70000,0
218,70000,80000,0
219,70000,90000,0
220,70000,100000,0
221,70000,110000,0
222,70000,120000,0
223,70000,130000,0
224,70000,140000,0
225,70000,150000,0
226,70000,160000,0
227,70000,170000,0
228,70000,180000,0
229,70000,190000,0
230,70000,200000,0
248,70000,380000,0
249,70000,390000,0
284,80000,30000,0
285,80000,40000,0
286,80000,50000,0
287,80000,60000,0
288,80000,70000,0
289,80000,80000,0
290,80000,90000,0
291,80000,100000,0
292,80000,110000,0
293,80000,120000,0
294,80000,130000,0
295,80000,140000,0
296,80000,150000,0
297,80000,160000,0
298,80000,170000,0
299,80000,180000,0
300,80000,190000,0
301,80000,200000,0
302,80000,210000,0
332,80000,510000,0
355,90000,30000,0
356,90000,40000,0
357,90000,50000,0
358,90000,60000,0
359,90000,70000,0
360,90000,80000,0
361,90000,90000,0
